key_resp.corr,trials.label,trials.startVal,trials.stepSizes,trials.maxVal,trials.minVal,trials.thisIndex,trials.thisRepN,trials.thisN,trials.direction,trials.stepSize,trials.stepType,trials.intensity,ISI.started,grating.started,key_resp.started,grating.stopped,trials.response,participant,session,date,expName,psychopyVersion,frameRate,
,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,32,31,up,0.005,db,0.050549865494382645,0.0012966000067535788,89.2189094000205,89.2189094000205,89.51826080001774,0,199656,001,2022-09-08_16h18.57.916,staircase exp,2022.2.2,60.01356307071888,
,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,33,32,up,0.005,db,0.05057897271299489,0.00039499998092651367,91.6352065000101,91.6352065000101,91.93437240002095,1,199656,001,2022-09-08_16h18.57.916,staircase exp,2022.2.2,60.01356307071888,
,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,34,33,up,0.005,db,0.05057897271299489,0.0004687000182457268,94.01811390000512,94.01811390000512,94.31797850001021,0,199656,001,2022-09-08_16h18.57.916,staircase exp,2022.2.2,60.01356307071888,
,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,35,34,up,0.005,db,0.05060809669189259,0.0006395000091288239,96.46761890000198,96.46761890000198,96.76726710001822,1,199656,001,2022-09-08_16h18.57.916,staircase exp,2022.2.2,60.01356307071888,
,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,36,35,up,0.005,db,0.05060809669189259,0.0009760999819263816,98.85090499999933,98.85090499999933,99.15038160001859,0,199656,001,2022-09-08_16h18.57.916,staircase exp,2022.2.2,60.01356307071888,
,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,37,36,up,0.005,db,0.05063723744072651,0.0006665999826509506,101.25062020000769,101.25062020000769,101.55014640002628,1,199656,001,2022-09-08_16h18.57.916,staircase exp,2022.2.2,60.01356307071888,
,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,38,37,up,0.005,db,0.05063723744072651,0.0006431000074371696,103.61629820000962,103.61629820000962,103.91642920000595,0,199656,001,2022-09-08_16h18.57.916,staircase exp,2022.2.2,60.01356307071888,
,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,39,38,up,0.005,db,0.050666394969153,0.00040660001104697585,106.04937750002136,106.04937750002136,106.34927490001428,1,199656,001,2022-09-08_16h18.57.916,staircase exp,2022.2.2,60.01356307071888,
,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,40,39,up,0.005,db,0.050666394969153,0.000613799988059327,108.4828982000181,108.4828982000181,108.78216970001813,0,199656,001,2022-09-08_16h18.57.916,staircase exp,2022.2.2,60.01356307071888,
,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,41,40,up,0.005,db,0.05069556928683393,0.0004986000130884349,110.88211380000575,110.88211380000575,111.18193540000357,1,199656,001,2022-09-08_16h18.57.916,staircase exp,2022.2.2,60.01356307071888,
,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,42,41,up,0.005,db,0.05069556928683393,0.00034389999927952886,113.28229250002187,113.28229250002187,113.582115600002,0,199656,001,2022-09-08_16h18.57.916,staircase exp,2022.2.2,60.01356307071888,
,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,43,42,up,0.005,db,0.05072476040343676,0.0006634999881498516,115.71517229999881,115.71517229999881,116.0147914000263,1,199656,001,2022-09-08_16h18.57.916,staircase exp,2022.2.2,60.01356307071888,
,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,44,43,up,0.005,db,0.05072476040343676,0.0007016000163275748,118.2646972000075,118.2646972000075,118.56426230000216,0,199656,001,2022-09-08_16h18.57.916,staircase exp,2022.2.2,60.01356307071888,
